location_id,population_served,sample_date,baseline_rate
California,100000,2022-04-09,2.4
California,100000,2022-04-09,2.7
California,100000,2022-04-09,0.1
California,100000,2022-04-16,0.0
California,100000,2022-04-16,2.3
California,100000,2022-04-16,2.4
California,100000,2022-04-16,0.1
California,100000,2022-04-23,0.1
California,100000,2022-04-23,3.2
California,100000,2022-04-23,3.5000000000000004
California,100000,2022-04-23,0.2
California,100000,2022-04-30,0.1
California,100000,2022-04-30,4.2
California,100000,2022-04-30,4.7
California,100000,2022-04-30,0.4
California,100000,2022-05-07,0.0
California,100000,2022-05-07,5.1
California,100000,2022-05-07,5.3
California,100000,2022-05-07,0.2
California,100000,2022-05-14,0.1
California,100000,2022-05-14,6.6
California,100000,2022-05-14,7.1
California,100000,2022-05-14,0.4
California,100000,2022-05-21,0.0
California,100000,2022-05-21,8.2
California,100000,2022-05-21,8.899999999999999
California,100000,2022-05-21,0.7
California,100000,2022-05-28,0.1
California,100000,2022-05-28,9.5
California,100000,2022-05-28,10.4
California,100000,2022-05-28,0.8
California,100000,2022-06-04,0.0
California,100000,2022-06-04,9.9
California,100000,2022-06-04,10.4
California,100000,2022-06-04,0.5
California,100000,2022-06-11,0.1
California,100000,2022-06-11,9.5
California,100000,2022-06-11,10.1
California,100000,2022-06-11,0.5
California,100000,2022-06-18,0.1
California,100000,2022-06-18,8.8
California,100000,2022-06-18,8.9
California,100000,2022-06-25,0.0
California,100000,2022-06-25,12.0
California,100000,2022-06-25,12.0
California,100000,2022-07-02,0.1
California,100000,2022-07-02,11.4
California,100000,2022-07-02,11.5
California,100000,2022-07-09,0.1
California,100000,2022-07-09,12.1
California,100000,2022-07-09,12.2
California,100000,2022-07-16,0.0
California,100000,2022-07-16,13.5
California,100000,2022-07-16,13.5
California,100000,2022-07-23,0.1
California,100000,2022-07-23,12.0
California,100000,2022-07-23,12.1
California,100000,2022-07-30,0.1
California,100000,2022-07-30,12.1
California,100000,2022-07-30,12.2
California,100000,2022-08-06,0.2
California,100000,2022-08-06,10.4
California,100000,2022-08-06,10.6
California,100000,2022-08-13,0.1
California,100000,2022-08-13,9.6
California,100000,2022-08-13,9.7
California,100000,2022-08-20,0.1
California,100000,2022-08-20,7.6
California,100000,2022-08-20,7.699999999999999
California,100000,2022-08-27,0.2
California,100000,2022-08-27,7.5
California,100000,2022-08-27,7.7
California,100000,2022-09-03,0.1
California,100000,2022-09-03,6.7
California,100000,2022-09-03,6.8
California,100000,2022-09-10,0.2
California,100000,2022-09-10,6.3
California,100000,2022-09-10,6.5
California,100000,2022-09-17,0.2
California,100000,2022-09-17,5.3
California,100000,2022-09-17,5.5
California,100000,2022-09-24,0.3
California,100000,2022-09-24,4.4
California,100000,2022-09-24,4.7
California,100000,2022-10-01,0.6
California,100000,2022-10-01,4.6
California,100000,2022-10-01,5.199999999999999
California,100000,2022-10-08,0.4
California,100000,2022-10-08,4.3
California,100000,2022-10-08,0.1
California,100000,2022-10-08,4.8
California,100000,2022-10-15,0.9
California,100000,2022-10-15,4.9
California,100000,2022-10-15,0.1
California,100000,2022-10-15,5.9
California,100000,2022-10-22,1.4
California,100000,2022-10-22,4.2
California,100000,2022-10-22,0.1
California,100000,2022-10-22,5.699999999999999
California,100000,2022-10-29,1.2
California,100000,2022-10-29,4.3
California,100000,2022-10-29,0.2
California,100000,2022-10-29,5.7
California,100000,2022-11-05,1.7
California,100000,2022-11-05,5.6
California,100000,2022-11-05,0.4
California,100000,2022-11-05,7.7
California,100000,2022-11-12,3.2
California,100000,2022-11-12,6.2
California,100000,2022-11-12,1.0
California,100000,2022-11-12,10.4
California,100000,2022-11-19,2.7
California,100000,2022-11-19,6.4
California,100000,2022-11-19,2.0
California,100000,2022-11-19,11.1
California,100000,2022-11-26,2.7
California,100000,2022-11-26,8.2
California,100000,2022-11-26,4.3
California,100000,2022-11-26,15.2
California,100000,2022-12-03,3.1
California,100000,2022-12-03,9.9
California,100000,2022-12-03,6.3
California,100000,2022-12-03,19.3
California,100000,2022-12-10,2.9
California,100000,2022-12-10,11.5
California,100000,2022-12-10,6.1
California,100000,2022-12-10,20.5
California,100000,2022-12-17,2.3
California,100000,2022-12-17,10.7
California,100000,2022-12-17,5.0
California,100000,2022-12-17,18.0
California,100000,2022-12-24,2.0
California,100000,2022-12-24,10.5
California,100000,2022-12-24,5.8
California,100000,2022-12-24,18.3
California,100000,2022-12-31,1.8
California,100000,2022-12-31,10.6
California,100000,2022-12-31,4.9
California,100000,2022-12-31,17.3
California,100000,2023-01-07,1.6
California,100000,2023-01-07,10.2
California,100000,2023-01-07,2.6
California,100000,2023-01-07,14.4
California,100000,2023-01-14,1.4
California,100000,2023-01-14,7.0
California,100000,2023-01-14,0.9
California,100000,2023-01-14,9.3
California,100000,2023-01-21,0.6
California,100000,2023-01-21,6.3
California,100000,2023-01-21,0.3
California,100000,2023-01-21,7.199999999999999
California,100000,2023-01-28,1.1
California,100000,2023-01-28,5.2
California,100000,2023-01-28,0.2
California,100000,2023-01-28,6.5
California,100000,2023-02-04,0.7
California,100000,2023-02-04,6.0
California,100000,2023-02-04,0.5
California,100000,2023-02-04,7.2
California,100000,2023-02-11,0.8
California,100000,2023-02-11,5.7
California,100000,2023-02-11,0.4
California,100000,2023-02-11,6.9
California,100000,2023-02-18,0.8
California,100000,2023-02-18,6.7
California,100000,2023-02-18,0.3
California,100000,2023-02-18,7.8
